brushes,mode,scope,calls_per_step,inclusive_ms_per_step,exclusive_ms_per_step,exclusive_percent
1,inward,Map::nodesDidChange,1.000,0.006981,0.006981,0.548
1,inward,Map::nodesWillChange,1.000,0.001868,0.001868,0.147
1,inward,MapDocument::transactionDone,1.000,0.124511,0.105832,8.307
1,inward,MapRenderer::nodesDidChange,1.000,0.004810,0.004810,0.378
1,inward,MapViewBase::renderContents,1.000,0.410578,0.397793,31.225
1,inward,MapViewBase::updateActionStates,4.000,0.008124,0.008124,0.638
1,inward,OutlinerEntityPropertyEditor::refreshEmbeddedEditors,1.000,0.000325,0.000325,0.026
1,inward,OutlinerEntityPropertyEditor::refreshVisiblePropertyValues,1.000,0.133326,0.133326,10.465
1,inward,Qt.MetaCall,2.000,0.105542,0.105542,8.285
1,inward,Qt.Paint,1.000,0.434482,0.017527,1.376
1,inward,Qt.Timer,1.175,0.227021,0.031953,2.508
1,inward,Qt.UpdateRequest,1.000,0.445694,0.011212,0.880
1,inward,RenderView::paintGL,1.000,0.416955,0.000653,0.051
1,inward,RenderView::render,1.000,0.416302,0.005724,0.449
1,inward,ToolBoxConnector::updatePickResult,4.000,0.007329,0.007329,0.575
1,inward,doSwapNodeContents,1.000,0.156283,0.008974,0.704
1,inward,drag,1.000,0.444131,0.002990,0.235
1,inward,events_and_render,1.000,0.828347,0.078496,6.162
1,inward,frame,1.000,1.273972,0.001494,0.117
1,inward,input.pick,1.000,0.013943,0.013943,1.094
1,inward,splitBrushesInward,1.000,0.425935,0.008640,0.678
1,inward,splitBrushesOutward,1.000,0.000320,0.000320,0.025
1,inward,updateNodeContents,2.000,0.683386,0.019520,1.532
64,normal,Brush.copy.faces,1.000,0.000491,0.000491,0.026
64,normal,Brush.copy.geometry,1.000,0.010375,0.010375,0.558
64,normal,Brush::moveBoundary,1.000,0.035686,0.035686,1.919
64,normal,BrushRenderer::validate,1.000,0.010651,0.003766,0.203
64,normal,BrushRenderer::validateBrush,1.000,0.006885,0.006885,0.370
64,normal,CommandProcessor::executeAndStore,1.000,0.169160,0.036696,1.974
64,normal,CommandProcessor::rollbackTransaction,1.000,0.422232,0.006838,0.368
64,normal,CommandProcessor::undoCommand,1.000,0.248889,0.087905,4.728
64,normal,EntityPropertyGrid::updateControls,2.000,0.006529,0.006529,0.351
