brushes,mode,scope,calls_per_step,inclusive_ms_per_step,exclusive_ms_per_step,exclusive_percent
1,outward,Qt.Paint,19.000,2.698146,2.090974,16.413
1,outward,Qt.Polish,7.000,0.510302,0.510302,4.006
1,outward,Qt.PolishRequest,7.000,0.316630,0.014196,0.111
1,outward,Qt.Timer,4.664,1.127294,0.570692,4.480
1,outward,Qt.UpdateRequest,1.000,4.338822,1.640676,12.878
1,outward,RenderView::paintGL,1.000,0.607172,0.000982,0.008
1,outward,RenderView::render,1.000,0.606190,0.011599,0.091
1,outward,ToolBoxConnector::updatePickResult,24.000,0.039775,0.039775,0.312
1,outward,addNodes,1.000,0.424115,0.019517,0.153
1,outward,addNodesAndNotify,1.000,0.134414,0.006483,0.051
1,outward,deselectAll,1.000,0.414482,0.004946,0.039
1,outward,drag,1.000,4.510768,0.006209,0.049
1,outward,events_and_render,1.000,8.226909,0.402621,3.160
1,outward,frame,1.000,12.739847,0.002170,0.017
1,outward,input.pick,1.000,0.021534,0.021534,0.169
1,outward,notify.selectionDidChange,4.000,3.200553,0.298700,2.345
1,outward,removeNodesAndNotify,1.000,0.128172,0.010160,0.080
1,outward,selectNodes,1.000,1.006837,0.008687,0.068
1,outward,splitBrushesOutward,1.000,4.482186,0.008826,0.069
1,inward,Brush.copy,2.000,0.022091,0.001657,0.015
1,inward,Brush.copy.faces,3.000,0.002939,0.002939,0.027
1,inward,Brush.copy.geometry,3.000,0.029331,0.029331,0.272
1,inward,Brush::clip,2.000,0.055660,0.055660,0.517
1,inward,BrushRenderer::addBrush,5.000,0.004807,0.003521,0.033
1,inward,BrushRenderer::invalidate,6.000,0.002599,0.002599,0.024
1,inward,BrushRenderer::removeBrush,5.000,0.006634,0.005322,0.049
1,inward,BrushRenderer::validate,1.000,0.021534,0.006076,0.056
1,inward,BrushRenderer::validateBrush,2.000,0.015458,0.015458,0.144
1,inward,CommandProcessor::executeAndStore,5.000,1.183946,0.131558,1.222
1,inward,CommandProcessor::rollbackTransaction,1.000,2.329680,0.015840,0.147
1,inward,CommandProcessor::undoCommand,3.000,2.193501,0.240831,2.236
1,inward,EntityPropertyGrid::updateControls,6.000,0.024617,0.024617,0.229
